pH,Chlorine,Turbidity,Conductivity,Alkalinity,Temperature,Colour,Total Dissolved Solids,Hardness
5.87,1.5274999999999999,0.152,51.2,10.0,19.6,61.0,25.6,17.9
7.73,1.4849999999999999,0.463,54.8,10.0,19.3,73.0,27.4,23.6
6.96,1.57,0.234,47.6,10.0,19.0,71.0,23.8,21.5
7.095000000000001,1.4,0.268,49.1,10.0,19.15,78.5,24.55,20.35
7.23,1.59,0.302,50.6,10.0,19.3,86.0,25.3,19.2
7.03,1.82,0.293,48.5,10.0,19.6,76.0,24.2,21.6
6.95,1.73,0.303,46.2,10.0,19.65,52.5,23.049999999999997,20.8
6.87,1.7,0.313,43.9,10.0,19.7,29.0,21.9,20.0
6.2,2.01,0.274,42.6,10.0,19.6,38.0,21.6,20.6
8.11,2.85,0.274,52.1,10.0,18.8,22.0,26.1,21.5
8.28,2.67,0.732,48.0,10.0,18.3,30.0,24.0,22.0
7.88,2.14,0.948,42.8,10.0,18.9,47.0,21.4,20.7
7.27,1.71,0.447,38.2,10.0,19.3,61.0,19.1,21.4
7.255,1.58,0.5145,36.1,10.0,19.0,60.0,18.05,20.2
7.24,1.72,0.582,34.0,10.0,18.7,59.0,17.0,19.0
7.18,1.78,0.396,34.0,10.0,18.8,75.0,17.0,19.2
7.41,1.72,0.638,36.0,10.0,18.5,74.0,18.0,20.5
6.97,1.98,0.467,36.0,10.0,17.7,43.0,18.0,8.9
7.385,2.17,1.13,34.3,10.0,17.0,34.0,17.1,14.0
7.8,2.36,1.907,42.4,10.0,15.9,31.0,21.2,20.9
7.38,2.29,2.2635,45.4,10.0,15.55,31.0,22.7,21.299999999999997
6.96,2.45,2.62,48.4,10.0,15.2,31.0,24.2,21.7
7.04,2.15,2.7055,53.4,10.0,15.2,27.0,26.7,23.2
6.93,2.34,2.791,51.8,9.546983337402343,15.1,32.0,26.1,23.4
5.71,2.64,1.52,40.9,9.093966674804687,15.5,37.0,20.4,18.9
6.71,2.7,0.287,49.5,10.0,16.0,60.0,24.7,21.4
6.72,2.42,0.172,47.8,8.187933349609375,16.2,47.0,23.9,19.5
6.775,2.39,0.17049999999999998,50.8,8.18975830078125,15.85,48.0,25.4,21.0
6.83,2.45,0.169,53.8,8.1861083984375,15.5,49.0,26.9,22.5
7.1,2.19,0.132,45.6,8.193408203125,15.3,35.0,22.8,20.7
7.11,2.5,0.209,54.8,8.17880859375,15.4,67.0,27.4,16.9
4.63,2.87,0.213,35.6,8.2080078125,14.9,38.0,17.8,19.7
7.47,2.43,0.517,53.0,8.149609375,14.6,27.0,26.5,19.1
6.96,2.32,0.278,44.4,8.26640625,14.9,28.0,22.2,21.4
6.995,2.3,0.2425,43.65,8.0328125,14.9,29.0,21.85,20.95
7.03,2.3,0.207,42.9,8.5,14.9,30.0,21.5,20.5
7.3,1.92,0.453,54.0,7.565625000000001,15.0,35.0,27.0,29.1
6.96,2.09,0.45,55.4,7.643750000000001,14.8,30.0,27.7,23.4
7.02,2.065,0.41200000000000003,53.7,7.487500000000001,14.45,30.5,26.85,24.15
7.08,2.04,0.374,52.0,7.8,14.1,31.0,26.0,24.9
7.285,2.015,0.40375,53.5,7.175000000000001,13.149999999999999,35.25,26.75,20.799999999999997
7.35,1.99,0.4145,53.400000000000006,7.15,13.2,36.5,26.700000000000003,23.2
7.22,2.04,0.393,53.6,7.2,13.1,34.0,26.8,18.4
7.48,1.94,0.436,53.2,7.1,13.3,39.0,26.6,28.0
7.1,1.79,0.449,43.8,7.2,13.7,45.0,21.9,19.2
5.32,1.8,0.323,40.0,4.3,14.1,39.0,20.0,25.4
7.2,2.12,0.592,51.2,6.7,13.9,56.0,26.5,23.8
7.01,2.19,0.402,55.3,5.4,12.7,42.0,27.6,20.0
6.945,2.19,0.3735,49.75,6.0,12.55,34.0,24.85,24.05
6.88,2.19,0.345,44.2,6.6,12.4,26.0,22.1,28.1
6.93,1.97,0.323,54.9,7.4,12.6,28.0,27.4,26.2
7.03,1.94,0.319,54.8,8.3,12.8,51.0,27.4,27.7
7.2,1.97,0.294,58.7,7.9,13.8,62.0,29.4,26.3
7.63,1.91,0.285,55.8,7.8,13.8,35.0,27.9,26.9
6.97,2.23,0.2,61.2,8.3,13.2,36.0,30.6,24.4
7.1,2.215,0.1615,61.400000000000006,7.8500000000000005,12.75,37.5,30.700000000000003,23.549999999999997
7.23,2.2,0.123,61.6,7.4,12.3,39.0,30.8,22.7
7.13,1.87,0.118,61.7,8.7,12.3,44.0,30.8,19.3
7.32,2.02,0.198,61.5,10.6,11.9,38.0,30.7,20.1
7.26,1.99,0.2,60.8,8.9,12.0,37.0,30.4,19.3
7.29,2.06,0.199,61.15,9.75,11.95,37.5,30.549999999999997,19.700000000000003
5.45,1.85,0.136,45.8,8.8,10.6,52.0,23.2,25.7
6.245,1.85,0.1735,51.599999999999994,8.2,10.3,47.0,25.95,23.049999999999997
7.04,2.08,0.211,57.4,7.6,10.0,42.0,28.7,20.4
6.89,2.08,0.23,49.4,7.2,9.6,41.0,24.7,19.7
7.27,2.03,0.251,58.0,7.3,9.3,43.0,29.0,21.0
7.08,2.0549999999999997,0.2405,53.7,7.25,9.45,42.0,26.85,20.35
7.15,1.77,0.624,54.9,6.9,9.3,51.0,27.5,19.8
6.93,1.84,0.192,50.6,8.4,8.8,60.0,25.3,17.0
7.029999999999999,1.75,0.2595,54.3,8.350000000000001,8.15,47.0,27.15,18.75
7.13,1.66,0.327,58.0,8.3,7.5,34.0,29.0,20.5
6.98,1.32,0.339,60.5,8.6,7.4,41.0,30.3,19.9
7.02,2.08,0.289,56.7,7.4,7.6,43.0,28.3,19.3
7.09,1.86,0.36,60.6,9.6,7.6,32.0,30.3,19.8
7.22,1.77,0.284,59.6,8.9,7.3,53.0,29.8,18.4
7.23,2.1,0.258,56.4,7.9,7.9,52.0,28.2,19.2
7.27,1.86,0.5,58.849999999999994,8.15,7.550000000000001,47.0,29.4,18.299999999999997
7.31,1.75,0.742,61.3,8.4,7.2,42.0,30.6,17.4
7.22,1.88,0.285,57.5,7.7,6.7,46.0,28.8,19.9
6.94,1.66,0.365,60.1,7.5,5.9,41.0,30.0,19.1
7.49,1.8,0.28,55.8,8.4,5.9,59.0,27.9,19.2
7.15,1.76,0.281,58.6,8.1,5.6,36.0,29.3,20.2
7.05,1.71,0.332,49.7,7.2,5.4,43.0,24.8,21.3
6.895,1.78,0.389,50.85,7.4,6.050000000000001,42.0,25.4,20.8
6.74,1.82,0.446,52.0,7.6,6.7,41.0,26.0,20.3
6.98,1.81,0.231,51.8,7.7,6.4,43.0,25.9,20.4
7.23,1.71,0.269,52.0,8.6,6.5,31.0,26.0,20.7
7.35,1.67,0.319,54.2,8.4,6.5,45.0,27.2,20.6
7.529999999999999,1.75,0.3435,52.1,9.350000000000001,6.2,56.5,26.15,21.65
7.71,1.86,0.368,50.0,10.3,5.9,68.0,25.1,22.7
7.484999999999999,1.7850000000000001,0.4465,53.7,11.9,5.6,49.5,26.9,25.5
7.26,1.71,0.525,57.4,13.5,5.3,31.0,28.7,28.3
7.42,1.92,0.273,50.1,9.9,5.1,46.0,25.0,24.3
6.95,1.82,0.467,61.5,9.1,5.7,51.0,30.7,21.6
7.02,1.83,0.452,51.0,8.9,4.9,51.0,25.5,22.4
6.71,1.75,0.274,54.2,8.7,4.5,49.0,27.1,23.1
8.5,1.8,0.341,59.8,8.2,4.7,47.0,29.9,22.2
7.5649999999999995,1.64,0.7245,59.05,8.899999999999999,4.9,44.0,29.549999999999997,21.9
6.63,1.75,1.108,58.3,9.6,5.1,41.0,29.2,21.6
7.71,1.78,0.238,65.0,8.6,5.0,54.0,32.5,19.1
7.04,1.91,0.302,60.6,8.7,4.9,47.0,30.3,19.4
6.64,1.84,0.498,59.6,7.7,4.5,49.0,29.8,20.0
7.25,1.69,0.581,57.8,8.2,4.5,42.0,28.9,20.8
7.82,1.82,0.352,57.5,8.3,4.5,41.0,28.7,19.9
7.445,1.78,0.502,56.85,8.2,4.55,42.0,28.4,20.5
7.07,1.9,0.652,56.2,8.1,4.6,43.0,28.1,21.1
6.98,1.77,0.297,56.8,7.9,4.7,42.0,28.4,19.7
7.07,1.69,0.552,53.1,8.0,4.3,41.0,26.5,20.5
6.92,1.87,0.442,52.9,7.4,4.1,40.0,26.4,20.2
7.32,1.95,0.487,49.2,8.6,5.2,53.0,24.7,19.3
5.14,1.86,0.143,49.3,7.2,5.4,57.0,24.6,18.5
6.38,1.85,0.34450000000000003,49.849999999999994,6.800000000000001,5.25,51.0,24.9,21.3
7.62,1.84,0.546,50.4,6.4,5.1,45.0,25.2,24.1
7.24,1.69,0.449,52.7,8.2,5.0,42.0,26.3,22.7
7.43,1.78,0.292,55.6,11.7,5.2,54.0,27.8,23.5
7.22,1.76,0.272,55.1,9.8,4.5,72.0,27.5,20.0
7.355,1.73,0.28800000000000003,55.75,9.350000000000001,4.05,66.0,27.85,21.65
7.49,1.7,0.304,56.4,8.9,3.6,60.0,28.2,23.3
7.575,1.71,0.3745,57.0,9.25,4.0,61.0,28.5,20.65
7.66,1.8,0.445,57.6,9.6,4.4,62.0,28.8,18.0
7.359999999999999,1.75,0.385,55.7,9.7,4.4,57.0,27.85,18.55
7.06,1.74,0.325,53.8,9.8,4.4,52.0,26.9,19.1
7.54,1.76,0.298,58.4,8.9,4.2,53.0,29.2,21.2
7.43,1.7,0.328,58.6,9.1,4.0,53.0,29.2,20.1
7.5,1.86,0.286,60.0,8.8,4.0,50.0,30.1,21.1
7.215,1.86,0.3435,59.1,9.5,3.9,60.0,29.6,21.1
6.93,1.8,0.401,58.2,10.2,3.8,70.0,29.1,21.1
7.44,1.93,0.327,60.2,11.1,4.4,62.0,30.1,21.6
7.69,1.7,0.27,62.4,9.6,3.8,51.0,31.2,20.8
7.15,1.85,0.319,62.849999999999994,8.75,3.8499999999999996,50.0,31.4,21.65
6.95,2.07,0.328,63.3,7.9,3.9,52.0,31.6,22.5
7.08,2.15,0.345,68.5,9.8,3.7,41.0,34.2,20.1
6.92,2.0,0.38,63.95,10.600000000000001,3.6500000000000004,42.0,31.950000000000003,20.200000000000003
6.76,2.1,0.415,59.4,11.4,3.6,43.0,29.7,20.3
6.92,2.06,0.291,67.8,12.2,3.5,59.0,33.9,21.1
6.95,1.99,0.301,59.3,11.4,3.8,58.0,29.6,23.5
7.34,1.9,0.294,72.7,10.1,3.8,69.0,36.3,22.3
7.43,1.77,0.306,62.6,11.2,3.8,56.0,31.3,20.7
7.09,1.95,0.267,65.6,12.7,3.4,45.0,32.8,23.2
7.035,1.78,0.3365,67.44999999999999,12.2,3.8,47.0,33.75,22.7
6.98,1.92,0.406,69.3,11.7,4.2,49.0,34.7,22.2
6.88,1.79,0.353,71.2,14.5,4.8,64.0,35.6,22.5
7.28,1.67,0.324,73.0,14.8,3.9,62.0,36.5,24.9
7.59,1.77,0.259,70.2,14.7,3.9,51.0,35.1,20.1
6.49,1.28,0.16,73.2,9.2,3.4,51.0,36.6,21.9
8.26,1.37,0.671,54.7,8.9,3.4,40.0,27.5,21.0
